,model,drug_response,genes,k,prec,prec_std,prec_stderror,ndcg,ndcg_std,ndcg_stderror
46,knn,IC50_zscore,paccmann genes,15,0.07466332169866201,0.01035740412311183,0.00463197193794293,-0.15267849715959456,0.048026186481974195,0.021477963534755156
47,knn,IC50_zscore,paccmann genes,30,0.13928792175683538,0.009748198728719805,0.004359527003118903,-0.12134395472097874,0.13659396402001284,0.06108667777298182
48,lin_reg_feat_sel,IC50,genes selected per drug,1,0.32930530223172827,0.04483372777440247,0.020050252597656856,0.9289573093764801,0.007765888295353746,0.003473010826816188
49,lin_reg_feat_sel,IC50,genes selected per drug,3,0.4946339009002047,0.019745021773396067,0.008830242180505411,0.9563952948864592,0.0027017858836373364,0.0012082753792924841
50,lin_reg_feat_sel,IC50,genes selected per drug,5,0.5760840384483605,0.015146534479441408,0.006773736143915076,0.9516307335521954,0.002216978324415922,0.0009914628476075168
51,lin_reg_feat_sel,IC50,genes selected per drug,10,0.6954965360244707,0.009333239403240103,0.004173951551184888,0.9491450929147527,0.0016313236528697817,0.0007295501162240204
52,lin_reg_feat_sel,IC50,genes selected per drug,15,0.7505549386482495,0.004532348054098066,0.002026927669330434,0.9458178314984533,0.0015352657213219085,0.0006865917032802071
53,lin_reg_feat_sel,IC50,genes selected per drug,30,0.7943292330411543,0.0012747759228778682,0.0005700971239269886,0.9376724893795509,0.00197105716824317,0.0008814835631459935
54,lin_reg_feat_sel,IC50,paccmann genes,1,0.24226448811820128,0.03152432846735756,0.014098108279608652,0.8961759973235477,0.013059279324040433,0.0058402872611423825
55,lin_reg_feat_sel,IC50,paccmann genes,3,0.41379589808581957,0.027754083248302818,0.012412003359278655,0.9104747299107802,0.0047091846587061365,0.0021060114030932134
56,lin_reg_feat_sel,IC50,paccmann genes,5,0.49168781847725773,0.0073580355922628115,0.0032906135530325143,0.9046976391322825,0.0046789528957692705,0.0020924913476919153
57,lin_reg_feat_sel,IC50,paccmann genes,10,0.6134358366283654,0.005187845641874176,0.0023200751024013374,0.8991535942250357,0.003535792589479725,0.0015812545168833343
58,lin_reg_feat_sel,IC50,paccmann genes,15,0.6865491337054095,0.003986025307847107,0.0017826047096761314,0.8954916664448215,0.003837487880044692,0.001716176752522298
59,lin_reg_feat_sel,IC50,paccmann genes,30,0.7406449253769969,0.0016683718862457336,0.0007461185898790013,0.8936663027408345,0.003078907781403014,0.0013769294191340405
60,lin_reg_feat_sel,IC50_zscore,genes selected per drug,1,0.08398630648027865,0.013487614964068678,0.006031844782800189,0.3150746827608969,0.0247330977288357,0.011060977563164456
61,lin_reg_feat_sel,IC50_zscore,genes selected per drug,3,0.12836879593544653,0.008748096350716278,0.0039122676227838875,0.3158686355228954,0.016531156652586733,0.007392958004376362
62,lin_reg_feat_sel,IC50_zscore,genes selected per drug,5,0.1561258421650403,0.008586037728150248,0.0038397928035043627,0.30778863030912834,0.01415214479433318,0.006329031557509753
63,lin_reg_feat_sel,IC50_zscore,genes selected per drug,10,0.20427719868679844,0.008507859659303079,0.003804830508245977,0.29741548779075544,0.01361614463148676,0.006089324997494643
64,lin_reg_feat_sel,IC50_zscore,genes selected per drug,15,0.23180290628646466,0.008437648502979234,0.0037734311245821803,0.2781862978729876,0.012843441210528965,0.00574376152235299
65,lin_reg_feat_sel,IC50_zscore,genes selected per drug,30,0.308810664161616,0.013543582554674739,0.006056874250226595,0.2784572007252161,0.06675644670230302,0.029854390552538242
66,lin_reg_feat_sel,IC50_zscore,paccmann genes,1,0.0503012229891191,0.014921957340820144,0.006673302194285168,0.13493021362909413,0.0304214136126596,0.013604869761908864
67,lin_reg_feat_sel,IC50_zscore,paccmann genes,3,0.07517382327741012,0.0063239735218639055,0.002828166936559289,0.14233405300929433,0.0163021127318222,0.0072905264490438475
68,lin_reg_feat_sel,IC50_zscore,paccmann genes,5,0.09442898968625751,0.010671162018500848,0.004772288734456353,0.14230750007962423,0.012113873468639604,0.005417488909341864
69,lin_reg_feat_sel,IC50_zscore,paccmann genes,10,0.1361175612095976,0.006188980253946811,0.002767796111845796,0.1277884166618239,0.014318226568260782,0.006403305584774928
70,lin_reg_feat_sel,IC50_zscore,paccmann genes,15,0.16531843564457,0.008139211250267881,0.003639965927766007,0.10534345565749251,0.016856411311155534,0.007538416309688026
71,lin_reg_feat_sel,IC50_zscore,paccmann genes,30,0.23756846279942634,0.005160971636784314,0.002308056681959616,0.09660418414640337,0.08651705081224709,0.03869160136579757
72,mean_baseline,IC50,no RNAseq,1,0.30309283880877297,0.031936447551741236,0.014282413537110026,0.9151134919632928,0.007510551319336518,0.003358820659707437
73,mean_baseline,IC50,no RNAseq,3,0.4403804586728602,0.024251471515142866,0.010845587772451853,0.9488274851225199,0.002132920889849947,0.0009538712200667645
74,mean_baseline,IC50,no RNAseq,5,0.5129193139917858,0.012899149141535338,0.005768674866476214,0.9508778674960995,0.0022499828310906422,0.0010062229117052206
75,mean_baseline,IC50,no RNAseq,10,0.6542693896608887,0.009324770007330745,0.004170163922188551,0.949493652379551,0.0007274959492025821,0.0003253460791545415
76,mean_baseline,IC50,no RNAseq,15,0.7173774579701144,0.002724746421813945,0.0012185436441250594,0.9447394662164686,0.0013418113845635716,0.0006000762937734516
77,mean_baseline,IC50,no RNAseq,30,0.7767062379443372,0.0019112441485798326,0.0008547343675646427,0.9326426768849224,0.0015000633341691369,0.0006708487171514345
78,mean_baseline,IC50_zscore,no RNAseq,1,0.004216154114197653,0.003955035542156473,0.001768745665137922,-0.15149362463900046,0.036986145050424295,0.01654070691168322
79,mean_baseline,IC50_zscore,no RNAseq,3,0.011546015878361796,0.005007175231380189,0.002239276838523868,-0.16235088933837363,0.03021169649613455,0.013511081416189813
80,mean_baseline,IC50_zscore,no RNAseq,5,0.01699567399446843,0.0015088371071719407,0.0006747724677221189,-0.1756274163727697,0.03391292616946678,0.015166321646171852
81,mean_baseline,IC50_zscore,no RNAseq,10,0.03241466249247319,0.006455870336220357,0.002887152985142628,-0.20632136956983907,0.04393391945909388,0.01964784608570694
82,mean_baseline,IC50_zscore,no RNAseq,15,0.04888699467060127,0.008748775809945257,0.0039125714861886745,-0.26079666266990753,0.07409770583370529,0.033137501444189546
83,mean_baseline,IC50_zscore,no RNAseq,30,0.10623881113609115,0.015289957629884983,0.006837876926702878,-0.24584306078823248,0.14827552158872914,0.06631082913432719
84,paccmann,IC50,no RNAseq,1,0.29219022687609075,0.037728604292064954,0.01687274477864951,0.9151625958406562,0.007701510518228946,0.003444220209637911
85,paccmann,IC50,no RNAseq,3,0.4290157795229784,0.020617428748720874,0.009220394440679661,0.9473939661716748,0.0018966777536506248,0.0008482200777148794
86,paccmann,IC50,no RNAseq,5,0.5033387870855148,0.009855811384762547,0.004407652845949078,0.944556309742113,0.006010685883962137,0.0026880604455875503
87,paccmann,IC50,no RNAseq,10,0.6342381108202443,0.024941550493326387,0.011154200473464243,0.9412601550984858,0.004120396851063818,0.0018426974906509545
88,paccmann,IC50,no RNAseq,15,0.7064696044211752,0.005697064047954994,0.0025478044966794977,0.9382369323220872,0.0038762104072840174,0.0017334939931558417
89,paccmann,IC50,no RNAseq,30,0.7596304173938335,0.0075160888761756925,0.0033612971304117696,0.927189033213921,0.002991497502676213,0.001337838354100974
90,paccmann,IC50,paccmann genes,1,0.20662630890052353,0.03143948640250454,0.014060165754736093,0.8964710422113246,0.01325706337510442,0.005928738977751254
91,paccmann,IC50,paccmann genes,3,0.33749636416521234,0.017488610991466716,0.007821144601793914,0.9209082837741136,0.018288912377896965,0.008179050262302987
92,paccmann,IC50,paccmann genes,5,0.4150316317626528,0.023849681291592314,0.010665901721941078,0.9181052590950376,0.014543575884339303,0.00650408486266186
93,paccmann,IC50,paccmann genes,10,0.5601510689354277,0.02916356626607685,0.01304234332745351,0.9130322398557678,0.01063320902242758,0.0047553156386224305
94,paccmann,IC50,paccmann genes,15,0.6330704624781849,0.01947188181217463,0.008708090276372852,0.908709759934036,0.009867825533514039,0.004413025736609104
95,paccmann,IC50,paccmann genes,30,0.698357329842932,0.009011173470064799,0.004029919287221511,0.896478267091369,0.008073453256484177,0.003610558058933133
96,paccmann,IC50_zscore,no RNAseq,1,0.010433027923211168,0.011884045115040272,0.005314706544980871,-0.07393381184464995,0.036022008318842176,0.016109531857398805
97,paccmann,IC50_zscore,no RNAseq,3,0.018093731820826058,0.008729263013477687,0.003903845098322154,-0.08730396938085404,0.034042506948509396,0.015224271932275189
98,paccmann,IC50_zscore,no RNAseq,5,0.023166448516579407,0.006954752057712353,0.0031102596735402724,-0.08934784063376075,0.03250047067149436,0.014534652344439923
99,paccmann,IC50_zscore,no RNAseq,10,0.040389943280977315,0.004402156603524601,0.0019687042826161197,-0.10997390339221794,0.03262376601431775,0.014589791698012371
100,paccmann,IC50_zscore,no RNAseq,15,0.06471204188481675,0.0046474302663075204,0.0020783939992307134,-0.157764694335796,0.058007591339984586,0.02594178348944673
101,paccmann,IC50_zscore,no RNAseq,30,0.1338099912739965,0.006397353687981592,0.002860983544487164,-0.14295471837921733,0.0795771595575658,0.035587987645412836
102,paccmann,IC50_zscore,paccmann genes,1,0.008349694589877835,0.002553870502782755,0.0011421256099907612,-0.05759501521924511,0.03863961090955857,0.017280159323583087
103,paccmann,IC50_zscore,paccmann genes,3,0.016713932518906342,0.006609417146795721,0.0029558212063775873,-0.07065206427019473,0.02139121355870108,0.009566441527694161
104,paccmann,IC50_zscore,paccmann genes,5,0.024022687609075045,0.0060029214164930384,0.002684588070173552,-0.08724736227596745,0.023073343266466626,0.010318712802401283
105,paccmann,IC50_zscore,paccmann genes,10,0.04489092495636998,0.0051155371578781765,0.002287737765288335,-0.11654311951465024,0.029722417308823273,0.01329226911162904
106,paccmann,IC50_zscore,paccmann genes,15,0.06604493891797557,0.0056744622742958455,0.0025376966762167136,-0.16826116925494963,0.0562477907321836,0.025154776732269037
107,paccmann,IC50_zscore,paccmann genes,30,0.12919429901105292,0.007956859265180527,0.0035584156408685367,-0.13755703375408174,0.11143557066005053,0.04983550222147082
108,paccmann_ndcg,IC50_max_conc,no RNAseq,1,0.4895833333333333,0.048777772302604605,0.021814082931926066,0.775497757815366,0.06500093976200044,0.0290693039818404
109,paccmann_ndcg,IC50_max_conc,no RNAseq,3,0.3879599331006399,0.008697790386973898,0.0038897701118635673,0.7926960704976722,0.027806158688648934,0.012435292204193085
110,paccmann_ndcg,IC50_max_conc,no RNAseq,5,0.40482220767888305,0.016854355507764936,0.007537496926462076,0.7970072124381726,0.018798167483874043,0.008406796069273708
111,paccmann_ndcg,IC50_max_conc,no RNAseq,10,0.4614087041884817,0.01766345074378721,0.007899335316065483,0.8026046795902919,0.017672933856305483,0.007903576292911312
112,paccmann_ndcg,IC50_max_conc,no RNAseq,15,0.5140230511925539,0.016669243294018005,0.007454712227781354,0.8032053483260414,0.015859174767353715,0.0070924385693704635
113,paccmann_ndcg,IC50_max_conc,no RNAseq,30,0.6246213278068644,0.013173008939951252,0.005891148691588689,0.799743065335656,0.011439498058241777,0.005115899057341092
114,paccmann_ndcg,IC50_max_conc,paccmann genes,1,0.4937554537521815,0.04638089025756753,0.020742164694575745,0.7771062509914195,0.04452631357442965,0.019912772787979267
115,paccmann_ndcg,IC50_max_conc,paccmann genes,3,0.3962932664339732,0.019363369940291274,0.008659562291993467,0.7865754969266433,0.03663336586374373,0.016382939263190253
116,paccmann_ndcg,IC50_max_conc,paccmann genes,5,0.4204515706806283,0.019924237562319636,0.00891038991784028,0.7873496855020574,0.028967777732672142,0.012954784033471927
117,paccmann_ndcg,IC50_max_conc,paccmann genes,10,0.4736998254799302,0.01098544719437062,0.00491284133796941,0.7760071129940693,0.03158648446640449,0.014125905287424322
118,paccmann_ndcg,IC50_max_conc,paccmann genes,15,0.5249661867364748,0.010736296160733586,0.0048014176083940605,0.7727308076930495,0.02594305603778978,0.01160208736891686
119,paccmann_ndcg,IC50_max_conc,paccmann genes,30,0.6268809991273997,0.010639899797315241,0.004758307844116623,0.7735466136965128,0.018532684778379487,0.008288068594006432
120,paccmann_ndcg,IC50_zscore,no RNAseq,1,0.019835296684118674,0.005112281086168154,0.0022862816057516904,-0.059917372221510536,0.04167857813353538,0.01863922678242428
121,paccmann_ndcg,IC50_zscore,no RNAseq,3,0.03446044211751018,0.007642688611237197,0.003417914253117967,-0.08443401236400325,0.03849954130980643,0.017217518294257692
122,paccmann_ndcg,IC50_zscore,no RNAseq,5,0.044898560209424086,0.007461882329848846,0.0033370552259293054,-0.09878951751410206,0.04611494040272371,0.020623228303768348
123,paccmann_ndcg,IC50_zscore,no RNAseq,10,0.07097840314136125,0.00768738250265845,0.0034379019689973504,-0.12879991789831996,0.05703197085006266,0.025505472742305312
124,paccmann_ndcg,IC50_zscore,no RNAseq,15,0.09220658813263524,0.008443763250861002,0.0037761657229679617,-0.19450393607927857,0.09674514448395871,0.0432657439118341
125,paccmann_ndcg,IC50_zscore,no RNAseq,30,0.14955515561372895,0.005600596099237889,0.0025046627184832156,-0.16068748025584526,0.16020638107090612,0.07164647170075633
126,paccmann_ndcg,IC50_zscore,paccmann genes,1,0.015663176265270508,0.0073812581851489655,0.003300999012293963,-0.06532028645778751,0.022301544312590422,0.0099735538172352
127,paccmann_ndcg,IC50_zscore,paccmann genes,3,0.030984584060500288,0.008889111188376875,0.003975331375352926,-0.06569359649330878,0.02981009550511258,0.01333147999303853
128,paccmann_ndcg,IC50_zscore,paccmann genes,5,0.04322534904013961,0.0048345234025141195,0.0021620645933670296,-0.08104202579545794,0.038407015020013716,0.017176139279521222
129,paccmann_ndcg,IC50_zscore,paccmann genes,10,0.07254744764397905,0.00559006980796663,0.002499955217916516,-0.11633502082736542,0.04328742040305331,0.01935872291836771
130,paccmann_ndcg,IC50_zscore,paccmann genes,15,0.0938067190226876,0.008219389008747174,0.0036758225114146585,-0.1728615230793242,0.06724113291475266,0.030071148816297102
131,paccmann_ndcg,IC50_zscore,paccmann genes,30,0.15539885107620713,0.005935705425240955,0.002654528165050614,-0.1534345562713008,0.16795983384120042,0.07511392119169874
